019-12-25T23:42:29.081+07:00	INFO 	R1 receive event <-495:Evt,8F202,3,R1:B1,P1:1,GetWaf,^1 is now extended into ^2 during ^3 command>32
2019-12-25T23:43:04.368+07:00	INFO 	P1 receive event <-427:Evt,DF014,Unclamped Off>7E
2019-12-25T23:43:05.033+07:00	INFO 	P1 receive event <-428:Evt,DF012,Clamped Off>9A
2019-12-25T23:43:05.037+07:00	INFO 	P1 receive event <-429:Evt,DF013,Unclamped On>21
2019-12-25T23:43:05.097+07:00	INFO 	P1 receive message <121:Res,0,OK>1A
2019-12-25T23:43:05.137+07:00	INFO 	P1 send <123:Load,Open>0E
2019-12-25T23:43:05.166+07:00	INFO 	P1 receive message <123:Ack,0>3B
2019-12-25T23:43:05.204+07:00	INFO 	P1 receive event <-430:Evt,DF024,FOUP Door Chucked>6A
2019-12-25T23:43:05.227+07:00	INFO 	P1 receive event <-431:Evt,DF031,PDO Docked Off>2C
2019-12-25T23:43:05.231+07:00	INFO 	P1 receive event <-432:Evt,DF021,FOUP Door Latched Off>A2
2019-12-25T23:43:05.235+07:00	INFO 	P1 receive event <-433:Evt,DF022,FOUP Door Unlatched On>29
2019-12-25T23:43:05.283+07:00	INFO 	P1 receive event <-434:Evt,DF011,Clamped On>38
2019-12-25T23:43:05.287+07:00	INFO 	P1 receive event <-435:Evt,DF014,Unclamped Off>7D
2019-12-25T23:43:05.828+07:00	INFO 	P1 receive event <-436:Evt,DF018,Undocked Off>16
2019-12-25T23:43:06.297+07:00	INFO 	P1 receive event <-437:Evt,DF015,Docked On>D3
2019-12-25T23:43:06.739+07:00	INFO 	P1 receive event <-438:Evt,DF030,PDO Docked On>D4
2019-12-25T23:43:06.790+07:00	INFO 	P1 receive event <-439:Evt,DF031,PDO Docked Off>34
2019-12-25T23:43:10.395+07:00	INFO 	P1 receive event <-440:Evt,DF032,PDO Undocked On>B2
2019-12-25T23:43:10.429+07:00	INFO 	P1 receive event <-441:Evt,DF035,PDO Raised Off>3F
2019-12-25T23:43:13.268+07:00	INFO 	P1 receive event <-442:Evt,DF036,POD Lowered On>5D
2019-12-25T23:43:13.272+07:00	INFO 	P1 receive event <-443:Evt,DF040,Mapper in safe location>3B
2019-12-25T23:43:13.926+07:00	INFO 	P1 receive message <123:Res,0,OK>1C
2019-12-25T23:43:13.960+07:00	INFO 	P1 send <133:GetMap>0F
2019-12-25T23:43:13.987+07:00	INFO 	P1 receive message <133:Ack,0>3C
